CDSCode,NCESDist,NCESSchool,StatusType,County,District,School,Street,StreetAbr,City,Zip,State,MailStreet,MailStrAbr,MailCity,MailZip,MailState,Phone,Ext,Website,OpenDate,ClosedDate,Charter,CharterNum,FundingType,DOC,DOCType,SOC,SOCType,EdOpsCode,EdOpsName,EILCode,EILName,GSoffered,GSserved,Virtual,Magnet,Latitude,Longitude,AdmFName1,AdmLName1,AdmEmail1,AdmFName2,AdmLName2,AdmEmail2,AdmFName3,AdmLName3,AdmEmail3,LastUpdate
01611190111765,0601770,11549,Active,Alameda,Alameda Unified,Ruby Bridges Elementary,351 Jack London Avenue,351 Jack London Ave.,Alameda,94501-3901,CA,351 Jack London Avenue,351 Jack London Ave.,Alameda,94501-3901,CA,(510) 748-4006,,www.alameda.k12.ca.us,2006-08-28,,0,,,54,Unified School District,60,Elementary Schools (Public),TRAD,Traditional,ELEM,Elementary,K-5,K-5,N,0,37.781834,-122.28614,Cheryl,Wilson,cwilson@alameda.k12.ca.us,,,,,,,2015-06-18
01611190119222,0601770,12399,Active,Alameda,Alameda Unified,Nea Community Learning Center,1900 Third Street,1900 Third St.,Alameda,94501-1851,CA,1900 Third Street,1900 Third St.,Alameda,94501-1851,CA,(510) 748-4008,130,http://neaclc.org,2009-08-31,,1,1066,Directly funded,54,Unified School District,65,K-12 Schools (Public),TRAD,Traditional,ELEMHIGH,Elementary-High Combination,K-12,K-12,N,0,37.779051,-122.28703,Patti,Wilczek,patti.wilczek@clcschools.org,Annalisa,Moore,annalisa.moore@neaclc.org,,,,2015-09-11
01611190122085,0601770,00042,Active,Alameda,Alameda Unified,The Academy of Alameda,401 Pacific Avenue,401 Pacific Ave.,Alameda,94501-1837,CA,401 Pacific Avenue,401 Pacific Ave.,Alameda,94501-1837,CA,(510) 748-4017,,http://aoaschools.org/,2010-08-30,,1,1181,Directly funded,54,Unified School District,62,Intermediate/Middle Schools (Public),TRAD,Traditional,INTMIDJR,Intermediate/Middle/Junior High,6-8,6-8,N,0,37.776497,-122.28582,Matt,Huxley,mhuxley@aoaschools.org,Woo,Williams,wwilliams@aoaschools.org,,,,2015-09-30
01611190126656,0601770,13107,Active,Alameda,Alameda Unified,Maya Lin,825 Taylor Street,825 Taylor St.,Alameda,94501-3411,CA,825 Taylor Street,825 Taylor St.,Alameda,94501-3411,CA,(510) 337-7027,,www.alameda.k12.ca.us/,2012-07-01,,0,,,54,Unified School District,63,Alternative Schools of Choice,ALTSOC,Alternative School of Choice,ELEM,Elementary,K-8,K-5,N,1,37.772724,-122.27189,Judith,Goodwin,jgoodwin@alameda.k12.ca.us,,,,,,,2015-06-18
01611190128199,0601770,13712,Closed,Alameda,Alameda Unified,Encinal Junior Jets,210 Central Avenue,210 Central Ave.,Alameda,94501-3246,CA,210 Central Avenue,210 Central Ave.,Alameda,94501-3246,CA,,,www.alameda.k12.ca.us,2013-07-01,2015-06-30,0,,,54,Unified School District,62,Intermediate/Middle Schools (Public),TRAD,Traditional,INTMIDJR,Intermediate/Middle/Junior High,6-8,6-8,N,1,37.772622,-122.28886,,,,,,,,,,2015-06-30
01611190130609,0601770,08673,Active,Alameda,Alameda Unified,Alameda Community Learning Center,1900 Third Street,1900 Third St.,Alameda,94501-1851,CA,1900 Third Street,1900 Third St.,Alameda,94501-1851,CA,(510) 995-4300,,www.alamedaclc.org,2001-08-30,,1,0352,Directly funded,54,Unified School District,65,K-12 Schools (Public),TRAD,Traditional,ELEMHIGH,Elementary-High Combination,6-12,6-12,N,0,37.779051,-122.28703,Patti,Wilczek,patti.wilczek@clcschools.org,David,Hoopes,david.hoopes@alamedaclc.org,,,,2016-04-19
01611190130625,0601770,08674,Active,Alameda,Alameda Unified,Alternatives in Action,6221 E 17th Street,6221 E 17th St.,Oakland,94621,CA,6221 E 17th Street,6221 E 17th St.,Oakland,94621,CA,(510) 748-4314,,www.alternativesinaction.org,2001-09-04,,1,0398,Directly funded,54,Unified School District,66,High Schools (Public),TRAD,Traditional,HS,High School,9-12,9-12,N,0,37.764353,-122.19551,Patricia,Murillo,pmurillo@alternativesinaction.org,,,,,,,2015-06-18
01611190132878,0601770,00045,Closed,Alameda,Alameda Unified,Encinal High,210 Central Avenue,210 Central Ave.,Alameda,94501-3278,CA,210 Central Avenue,210 Central Ave.,Alameda,94501-3278,CA,,,http://ehs.alamedausd.ca.schoolloop.com,1980-07-01,2015-06-30,0,,,54,Unified School District,66,High Schools (Public),TRAD,Traditional,HS,High School,9-12,9-12,N,0,37.773616,-122.29027,,,,,,,,,,2015-06-30
01611430122689,0604740,12792,Active,Alameda,Berkeley Unified,REALM Charter Middle,2023 Eighth Street,2023 Eighth St.,Berkeley,94710-2026,CA,2023 Eighth Street,2023 Eighth St.,Berkeley,94710-2026,CA,(510) 809-9800,,www.realmcharterschool.org,2011-08-30,,1,1254,Directly funded,54,Unified School District,62,Intermediate/Middle Schools (Public),TRAD,Traditional,INTMIDJR,Intermediate/Middle/Junior High,6-8,6-8,N,0,37.867479,-122.29492,Victor,Diaz,info@realmcharterschool.org,,,,,,,2015-06-18
01611430122697,0604740,12715,Active,Alameda,Berkeley Unified,REALM Charter High,2023 Eighth Street,2023 Eighth St.,Berkeley,94710-2026,CA,2023 Eighth Street,2023 Eighth St.,Berkeley,94710-2026,CA,(510) 809-9800,,www.realmcharterschool.org,2011-08-30,,1,1255,Directly funded,54,Unified School District,66,High Schools (Public),TRAD,Traditional,HS,High School,9-12,9-12,N,0,37.867479,-122.29492,Victor,Diaz,info@realmcharterschool.org,,,,,,,2015-06-18
01611760130534,0614400,07479,Active,Alameda,Fremont Unified,Circle of Independent Learning,4700 Calaveras Avenue,4700 Calaveras Ave.,Fremont,94538-1124,CA,4700 Calaveras Avenue,4700 Calaveras Ave.,Fremont,94538-1124,CA,(510) 797-0100,,http://coil.schoolwires.net,1998-09-09,,1,0152,Locally funded,54,Unified School District,65,K-12 Schools (Public),TRAD,Traditional,ELEMHIGH,Elementary-High Combination,K-12,K-12,P,0,37.537962,-121.99206,Stephanie,Walton,swalton@fremont.k12.ca.us,,,,,,,2016-08-18
01611920108670,0616740,10737,Active,Alameda,Hayward Unified,Leadership Public Schools - Hayward,28000 Calaroga Avenue,28000 Calaroga Ave.,Hayward,94545-4600,CA,"1404 Franklin Street, Suite 300","1404 Franklin Street, Ste. 300",Oakland,94612-3544,CA,(510) 300-1340,,www.leadps.org/hayward.html,2005-08-29,,1,0684,Directly funded,54,Unified School District,66,High Schools (Public),TRAD,Traditional,HS,High School,9-12,9-12,N,0,37.624193,-122.0879,Michael,DeSousa,mdesousa@leadps.org,,,,,,,2015-10-21
01611920111815,0616740,11550,Active,Alameda,Hayward Unified,Stonebrae Elementary,28761 Hayward Boulevard,28761 Hayward Blvd.,Hayward,94542-2213,CA,24411 Amador Street,24411 Amador St.,Hayward,94540,CA,(510) 723-3910,,www.husd.k12.ca.us,2006-08-29,,0,,,54,Unified School District,60,Elementary Schools (Public),TRAD,Traditional,ELEM,Elementary,K-6,K-6,N,0,37.654731,-122.02047,Lisa,Nolting,lnolting@husd.k12.ca.us,,,,,,,2015-06-18
01611920113902,0616740,11849,Active,Alameda,Hayward Unified,Impact Academy of Arts & Technology,2560 Darwin Street,2560 Darwin St.,Hayward,94545-3451,CA,2560 Darwin Street,2560 Darwin St.,Hayward,94545-3451,CA,(510) 300-1560,,www.es-impact.org,2007-08-20,,1,0836,Directly funded,54,Unified School District,66,High Schools (Public),TRAD,Traditional,HS,High School,9-12,9-12,N,0,37.631317,-122.10254,Sean,McClung,sean@es-impact.org,,,,,,,2015-06-18
01611920119248,0616740,12426,Active,Alameda,Hayward Unified,Golden Oak Montessori of Hayward,2652 Vergil Court,2652 Vergil Ct.,Castro Valley,94546-6402,CA,2652 Vergil Court,2652 Vergil Ct.,Castro Valley,94546-6402,CA,(510) 931-7868,,www.goldenoakmontessori.org,2009-08-31,,1,1067,Directly funded,54,Unified School District,60,Elementary Schools (Public),TRAD,Traditional,ELEM,Elementary,1-8,1-8,N,0,37.687804,-122.06973,Gena,Engelfried,gena@goldenoakmontessori.org,,,,,,,2016-07-20
01611920127696,0616740,13351,Active,Alameda,Hayward Unified,Knowledge Enlightens You (KEY) Academy,1570 Ward St,1570 Ward St,Hayward,94541-3030,CA,587 Kilkare Road,587 Kilkare Rd.,Sunol,94586,CA,(510) 543-4124,,www.keyacademycharter.org,2013-08-20,,1,1514,Directly funded,54,Unified School District,60,Elementary Schools (Public),TRAD,Traditional,ELEM,Elementary,K-8,K-8,N,0,37.67694,-122.07213,Krista,Kastriotis,krista@keyacademycharter.org,,,,,,,2015-09-26
01611920127944,0616740,13531,Active,Alameda,Hayward Unified,Silver Oak High Public Montessori Charter,951 Palisade Street,951 Palisade St.,Hayward,94542-1048,CA,951 Palisade Street,951 Palisade St.,Hayward,94542-1048,CA,(510) 370-3334,,www.silveroakmontessori.org,2013-08-26,,1,1543,Directly funded,54,Unified School District,66,High Schools (Public),TRAD,Traditional,HS,High School,9-12,9-12,N,0,37.662283,-122.07465,Elaine,Blasi,elaine@silveroakmontessori.org,,,,,,,2015-06-18
01611926113815,0616740,05622,Active,Alameda,Hayward Unified,Faith Ringgold School of Arts and Science,1570 Ward Street,1570 Ward St.,Hayward,94541-3030,CA,1570 Ward Street,1570 Ward St.,Hayward,94541-3030,CA,(510) 889-7399,,www.husd.k12.ca.us,1996-09-03,,0,,,54,Unified School District,60,Elementary Schools (Public),TRAD,Traditional,ELEM,Elementary,K-8,K-8,N,0,37.676269,-122.07396,Gabriel,Morales,gmorales@husd.k12.ca.us,,,,,,,2016-10-11
01612000107839,0622110,10736,Active,Alameda,Livermore Valley Joint Unified,Livermore Valley Charter,3142 Constitution Drive,3142 Constitution Dr.,Livermore,94551-7570,CA,3142 Constitution Drive,3142 Constitution Dr.,Livermore,94551-7570,CA,(925) 443-1690,,www.lvcs.org,2005-08-31,,1,1565,Directly funded,54,Unified School District,60,Elementary Schools (Public),TRAD,Traditional,ELEM,Elementary,K-8,K-8,N,0,37.704857,-121.81841,Lynn,Lysko,llysko@trivalleylearning.org,,,,,,,2016-09-26
01612000130393,0622110,08877,Active,Alameda,Livermore Valley Joint Unified,Vineyard Alternative,1401 Almond Avenue,1401 Almond Ave.,Livermore,94550-5043,CA,1401 Almond Avenue,1401 Almond Ave.,Livermore,94550-5043,CA,(925) 606-4722,,http://vineyard.schoolloop.com/,1980-07-01,,0,,,54,Unified School District,63,Alternative Schools of Choice,ALTSOC,Alternative School of Choice,ELEMHIGH,Elementary-High Combination,1-12,2-12,N,0,37.677172,-121.73987,Alex,Eckert,aeckert@lvjusd.k12.ca.us,,,,,,,2016-07-19
01612000132670,0622110,02621,Active,Alameda,Livermore Valley Joint Unified,Del Valle Continuation High,2253 Fifth Street,2253 Fifth St.,Livermore,94550-4549,CA,2253 Fifth Street,2253 Fifth St.,Livermore,94550-4549,CA,(925) 606-4709,,http://dvchs.schoolloop.com/,1980-07-01,,0,,,54,Unified School District,68,Continuation High Schools,CON,Continuation School,HS,High School,7-12,9-12,N,0,37.678902,-121.76674,Darrel,Avilla,davilla@lvjusd.k12.ca.us,,,,,,,2015-09-16
01612000133397,0622110,02626,Active,Alameda,Livermore Valley Joint Unified,Granada High,400 Wall Street,400 Wall St.,Livermore,94550-4066,CA,400 Wall Street,400 Wall St.,Livermore,94550-4066,CA,(925) 606-4800,,www.granadahs.schoolloop.com/,1980-07-01,,0,,,54,Unified School District,66,High Schools (Public),TRAD,Traditional,HS,High School,9-12,9-12,N,0,37.675206,-121.78984,PJ,Daley,pdaley@lvjusd.k12.ca.us,,,,,,,2016-07-20
01612000134536,0622110,02630,Active,Alameda,Livermore Valley Joint Unified,Livermore High,600 Maple Street,600 Maple St.,Livermore,94550-3298,CA,600 Maple Street,600 Maple St.,Livermore,94550-3298,CA,(925) 606-4812,,www.livermorehs.schoolloop.com/,1980-07-01,,0,,,54,Unified School District,66,High Schools (Public),TRAD,Traditional,HS,High School,9-12,9-12,N,0,37.680526,-121.76173,Vicki,Scudder,vscudder@lvjusd.k12.ca.us,,,,,,,2015-09-15
01612006001234,0622110,02622,Active,Alameda,Livermore Valley Joint Unified,Junction K-8,298 Junction Avenue,298 Junction Ave.,Livermore,94551-5903,CA,298 Junction Avenue,298 Junction Ave.,Livermore,94551-5903,CA,(925) 606-4720,,http://jams.schoolloop.com/,1980-07-01,,0,,,54,Unified School District,60,Elementary Schools (Public),TRAD,Traditional,ELEM,Elementary,K-8,K-8,N,0,37.687022,-121.76704,Dayna,Taylor,dtaylor@lvjusd.k12.ca.us,,,,,,,2016-07-20
01612006001242,0622110,02623,Active,Alameda,Livermore Valley Joint Unified,East Avenue Middle,3951 East Avenue,3951 East Ave.,Livermore,94550-4830,CA,3951 East Avenue,3951 East Ave.,Livermore,94550-4830,CA,(925) 606-4711,,http://eams.schoolloop.com/,1980-07-01,,0,,,54,Unified School District,62,Intermediate/Middle Schools (Public),TRAD,Traditional,INTMIDJR,Intermediate/Middle/Junior High,6-8,6-8,N,0,37.679821,-121.75005,Helen,Gladden,hgladden@lvjusd.k12.ca.us,,,,,,,2015-09-15
01612006001259,0622110,02624,Active,Alameda,Livermore Valley Joint Unified,Emma C. Smith Elementary,391 Ontario Drive,391 Ontario Dr.,Livermore,94550-5249,CA,391 Ontario Drive,391 Ontario Dr.,Livermore,94550-5249,CA,(925) 606-4750,,http://smith.schoolloop.com/,1980-07-01,,0,,,54,Unified School District,60,Elementary Schools (Public),TRAD,Traditional,ELEM,Elementary,K-5,K-5,N,0,37.667168,-121.7964,Tammy,Rankin,trankin@lvjusd.k12.ca.us,,,,,,,2015-09-15
01612006001283,0622110,02627,Active,Alameda,Livermore Valley Joint Unified,Jackson Avenue Elementary,554 Jackson Avenue,554 Jackson Ave.,Livermore,94550-3434,CA,554 Jackson Avenue,554 Jackson Ave.,Livermore,94550-3434,CA,(925) 606-4717,,http://jackson.schoolloop.com/,1980-07-01,,0,,,54,Unified School District,60,Elementary Schools (Public),TRAD,Traditional,ELEM,Elementary,K-5,K-5,N,0,37.684923,-121.74262,Shari,Johnston,sjohnston@lvjusd.k12.ca.us,,,,,,,2015-09-15
01612006001291,0622110,02628,Active,Alameda,Livermore Valley Joint Unified,Joe Michell,1001 Elaine Avenue,1001 Elaine Ave.,Livermore,94550-5414,CA,1001 Elaine Avenue,1001 Elaine Ave.,Livermore,94550-5414,CA,(925) 606-4738,,http://joemichell.schoolloop.com/,1980-07-01,,0,,,54,Unified School District,60,Elementary Schools (Public),TRAD,Traditional,ELEM,Elementary,K-8,K-8,N,0,37.669568,-121.7835,Laura,Lembo,llembo@lvjusd.k12.ca.us,,,,,,,2015-09-15
01612006001317,0622110,02631,Active,Alameda,Livermore Valley Joint Unified,Marylin Avenue Elementary,800 Marylin Avenue,800 Marylin Ave.,Livermore,94551-6514,CA,800 Marylin Avenue,800 Marylin Ave.,Livermore,94551-6514,CA,(925) 606-4724,,http://marylin.schoolloop.com/,1980-07-01,,0,,,54,Unified School District,60,Elementary Schools (Public),TRAD,Traditional,ELEM,Elementary,K-5,K-5,N,0,37.683866,-121.78603,Alberto,Solorzano,asolorzano@lvjusd.k12.ca.us,,,,,,,2015-09-15
01612006001341,0622110,02636,Active,Alameda,Livermore Valley Joint Unified,William Mendenhall Middle,1701 El Padro Drive,1701 El Padro Dr.,Livermore,94550-6215,CA,1701 El Padro Drive,1701 El Padro Dr.,Livermore,94550-6215,CA,(925) 606-4731,,http://mendenhall.schoolloop.com/,1980-07-01,,0,,,54,Unified School District,62,Intermediate/Middle Schools (Public),TRAD,Traditional,INTMIDJR,Intermediate/Middle/Junior High,6-8,6-8,N,0,37.664505,-121.79221,Susan,Sambuceti,sambuceti@lvjusd.k12.ca.us,,,,,,,2015-09-15
01612006071906,0622110,02620,Active,Alameda,Livermore Valley Joint Unified,Arroyo Seco Elementary,5280 Irene Way,5280 Irene Way,Livermore,94550-3508,CA,5280 Irene Way,5280 Irene Way,Livermore,94550-3508,CA,(925) 606-4700,,http://seco.schoolloop.com/,1980-07-01,,0,,,54,Unified School District,60,Elementary Schools (Public),TRAD,Traditional,ELEM,Elementary,K-5,K-5,N,0,37.68367,-121.72854,Denise,Nathanson,dnathanson@lvjusd.k12.ca.us,,,,,,,2015-09-15
01612006085773,0622110,02618,Active,Alameda,Livermore Valley Joint Unified,Andrew N. Christensen Middle,5757 Haggin Oaks Avenue,5757 Haggin Oaks Ave.,Livermore,94551-1100,CA,5757 Haggin Oaks Avenue,5757 Haggin Oaks Ave.,Livermore,94551-1100,CA,(925) 606-4702,,http://chms.schoolloop.com/,1980-07-01,,0,,,54,Unified School District,62,Intermediate/Middle Schools (Public),TRAD,Traditional,INTMIDJR,Intermediate/Middle/Junior High,6-8,6-8,N,0,37.726489,-121.72852,Pat,Avilla,pavilla@lvjusd.k12.ca.us,,,,,,,2015-09-15
01612006089338,0622110,02632,Active,Alameda,Livermore Valley Joint Unified,Rancho Las Positas Elementary,401 East Jack London Boulevard,401 East Jack London Blvd.,Livermore,94551-1853,CA,401 East Jack London Boulevard,401 East Jack London Blvd.,Livermore,94551-1853,CA,(925) 606-4748,,http://rancho.schoolloop.com/,1980-07-01,,0,,,54,Unified School District,60,Elementary Schools (Public),TRAD,Traditional,ELEM,Elementary,K-5,K-5,N,0,37.688959,-121.80427,Steve,Martin,stevemartin@lvjusd.k12.ca.us,,,,,,,2015-09-15
01612006097661,0622110,02635,Active,Alameda,Livermore Valley Joint Unified,Sunset Elementary,1671 Frankfurt Way,1671 Frankfurt Way,Livermore,94550-6146,CA,1671 Frankfurt Way,1671 Frankfurt Way,Livermore,94550-6146,CA,(925) 606-5230,,http://sunset.schoolloop.com/,1980-07-01,,0,,,54,Unified School District,60,Elementary Schools (Public),TRAD,Traditional,ELEM,Elementary,K-5,K-5,N,0,37.662609,-121.77335,Terri,Quesinberry,tquesinberry@lvjusd.k12.ca.us,,,,,,,2015-09-15
01612006110332,0622110,00052,Active,Alameda,Livermore Valley Joint Unified,Leo R. Croce Elementary,5650 Scenic Avenue,5650 Scenic Ave.,Livermore,94551-1224,CA,5650 Scenic Avenue,5650 Scenic Ave.,Livermore,94551-1224,CA,(925) 606-4706,,http://croce.schoolloop.com/,1991-07-01,,0,,,54,Unified School District,60,Elementary Schools (Public),TRAD,Traditional,ELEM,Elementary,P-5,K-5,N,0,37.717069,-121.72833,Kendra,Helsley,khelsley@lvjusd.k12.ca.us,,,,,,,2015-09-17
01612006117543,0622110,08438,Active,Alameda,Livermore Valley Joint Unified,Altamont Creek Elementary,6500 Garaventa Ranch Road,6500 Garaventa Ranch Rd.,Livermore,94551-8701,CA,6500 Garaventa Ranch Road,6500 Garaventa Ranch Rd.,Livermore,94551-8701,CA,(925) 454-5575,,http://altamont.schoolloop.com/,2000-08-14,,0,,,54,Unified School District,60,Elementary Schools (Public),TRAD,Traditional,ELEM,Elementary,K-5,K-5,N,0,37.722319,-121.71838,Tara,Aderman,taderman@lvjusd.k12.ca.us,,,,,,,2016-07-20
01612186001358,0626130,03910,Active,Alameda,Mountain House Elementary,Mountain House Elementary,3950 Mountain House Road,3950 Mountain House Rd.,Byron,94514-1920,CA,3950 Mountain House Road,3950 Mountain House Rd.,Byron,94514-1920,CA,(209) 835-2283,,www.mtnhouse.k12.ca.us,1980-07-01,,0,,,52,Elementary School District,61,Elemen Schools In 1 School Dist. (Public),TRAD,Traditional,ELEM,Elementary,K-8,K-8,N,0,37.787242,-121.57729,Marianne,Griffith,marijam@wildblue.net,,,,,,,2016-08-22
01612340130054,0627060,04085,Active,Alameda,Newark Unified,Newark Memorial High,39375 Cedar Boulevard,39375 Cedar Blvd.,Newark,94560-5007,CA,39375 Cedar Boulevard,39375 Cedar Blvd.,Newark,94560-5007,CA,(510) 818-4300,,www.newarkunified.org,1980-07-01,,0,,,54,Unified School District,66,High Schools (Public),TRAD,Traditional,HS,High School,9-12,9-12,P,0,37.522095,-122.00175,Philip,Morales,pmorales@newarkunified.org,,,,,,,2015-10-06
01612340130484,0627060,01921,Active,Alameda,Newark Unified,Crossroads High (Alternative),35753 Cedar Boulevard,35753 Cedar Blvd.,Newark,94560-1324,CA,35753 Cedar Boulevard,35753 Cedar Blvd.,Newark,94560-1324,CA,(510) 818-3720,,www.newarkunified.org,1993-01-20,,0,,,54,Unified School District,63,Alternative Schools of Choice,ALTSOC,Alternative School of Choice,HS,High School,K-12,9-12,N,0,37.550558,-122.03779,Marc,Lopes,mlopes@newarkunified.org,,,,,,,2015-10-06
01612340135426,0627060,04080,Active,Alameda,Newark Unified,Bridgepoint High (Continuation),35753 Cedar Boulevard,35753 Cedar Blvd.,Newark,94560-5007,CA,5715 Musick Avenue,5715 Musick Ave.,Newark,94560,CA,(510) 818-3200,,www.newarkunified.org,1980-07-01,,0,,,54,Unified School District,68,Continuation High Schools,CON,Continuation School,HS,High School,9-12,11-12,P,0,37.550558,-122.03779,Marc,Lopes,mlopes@newarkunified.org,,,,,,,2015-10-06
01612346001440,0627060,04090,Active,Alameda,Newark Unified,August Schilling Elementary,36901 Spruce Street,36901 Spruce St.,Newark,94560-2719,CA,36901 Spruce Street,36901 Spruce St.,Newark,94560-2719,CA,(510) 818-3800,,www.newarkunified.org,1980-07-01,,0,,,54,Unified School District,60,Elementary Schools (Public),TRAD,Traditional,ELEM,Elementary,K-6,K-6,N,0,37.528261,-122.04613,Nicole,Paredes,nparedes@newarkunified.org,,,,,,,2015-10-06
01612346001457,0627060,04087,Active,Alameda,Newark Unified,E. L. Musick Elementary,5735 Musick Avenue,5735 Musick Ave.,Newark,94560-2554,CA,5735 Musick Avenue,5735 Musick Ave.,Newark,94560-2554,CA,(510) 818-4000,,www.newarkunified.org,1980-07-01,,0,,,54,Unified School District,60,Elementary Schools (Public),TRAD,Traditional,ELEM,Elementary,K-6,K-6,N,0,37.542292,-122.03169,Amanda,Golliher,agolliher@newarkunified.org,,,,,,,2015-10-06
